#================================================================================
#Title: The near-to-mid infrared spectrum of quasars
#Authors: Hernan-Caballero A., Hatziminaoglou E., Alonso-Herrero A., Mateos S.
#================================================================================
#Description of contents: Composite 0.1-11um quasar spectrum from a sample of 85
# luminous quasars with Spitzer/IRS observations. Columns include spectra for the 
# total AGN emission, the accretion disk (+ emission lines) and the dust.
#================================================================================
#Byte-by-byte Description of file: table3.dat
#--------------------------------------------------------------------------------
#   Bytes Format Units Label     Explanations
#--------------------------------------------------------------------------------
#   1-  7 F7.4   um    Wave      Wavelength
#   9- 16 F8.5  ---   Fnu_tot    Total flux per unit frequency (arbitrary units)
#  18- 25 F8.5  ---   Fnu_disk   Flux per unit freq. (arb. units) disk component
#  27- 34 F8.5  ---   Fnu_dust   Flux per unit freq. (arb. units) dust component 
#================================================================================
 3.4590  1.19500  0.06688  1.12812
 3.4800  1.18500  0.06675  1.11825
 3.5000  1.19100  0.06663  1.12437
 3.5220  1.21100  0.06650  1.14450
 3.5430  1.21300  0.06637  1.14663
 3.5640  1.22900  0.06625  1.16275
 3.5850  1.24300  0.06612  1.17688
 3.6070  1.23300  0.06599  1.16701
 3.6290  1.23900  0.06586  1.17314
 3.6500  1.24100  0.06574  1.17526
 3.6720  1.24300  0.06561  1.17739
 3.6950  1.26100  0.06548  1.19552
 3.7170  1.27400  0.06536  1.20864
 3.7390  1.28500  0.06524  1.21976
 3.7620  1.29500  0.06511  1.22989
 3.7840  1.30500  0.06499  1.24001
 3.8070  1.31200  0.06487  1.24713
 3.8300  1.31300  0.06474  1.24826
 3.8530  1.31900  0.06462  1.25438
 3.8760  1.32700  0.06449  1.26251
 3.8990  1.33700  0.06437  1.27263
 3.9230  1.35200  0.06425  1.28775
 3.9460  1.36600  0.06413  1.30187
 3.9700  1.37700  0.06400  1.31300
 3.9940  1.38300  0.06388  1.31912
 4.0180  1.38300  0.06375  1.31925
 4.0420  1.41300  0.06363  1.34937
 4.0660  1.43800  0.06351  1.37449
 4.0910  1.42900  0.06339  1.36561
 4.1150  1.42900  0.06327  1.36573
 4.1400  1.43400  0.06315  1.37085
 4.1650  1.44800  0.06302  1.38498
 4.1900  1.43600  0.06290  1.37310
 4.2150  1.44600  0.06278  1.38322
 4.2410  1.45000  0.06266  1.38734
 4.2660  1.48000  0.06254  1.41746
 4.2920  1.48100  0.06242  1.41858
 4.3180  1.47900  0.06230  1.41670
 4.3440  1.48300  0.06218  1.42082
 4.3700  1.49500  0.06206  1.43294
 4.3960  1.50900  0.06194  1.44706
 4.4220  1.51200  0.06182  1.45018
 4.4490  1.53900  0.06170  1.47730
 4.4760  1.55400  0.06159  1.49241
 4.5030  1.54500  0.06146  1.48354
 4.5300  1.55900  0.06134  1.49766
 4.5570  1.57000  0.06122  1.50878
 4.5840  1.57600  0.06111  1.51489
 4.6120  1.58200  0.06099  1.52101
 4.6400  1.59600  0.06087  1.53513
 4.6680  1.60100  0.06075  1.54025
 4.6960  1.62600  0.06064  1.56536
 4.7240  1.61200  0.06052  1.55148
 4.7520  1.60200  0.06040  1.54160
 4.7810  1.62700  0.06028  1.56672
 4.8100  1.62600  0.06017  1.56583
 4.8390  1.61500  0.06005  1.55495
 4.8680  1.61100  0.05993  1.55107
 4.8970  1.61200  0.05982  1.55218
 4.9260  1.61900  0.05970  1.55930
 4.9560  1.64800  0.05958  1.58842
 4.9860  1.63600  0.05947  1.57653
 5.0160  1.64200  0.05935  1.58265
 5.0460  1.67100  0.05924  1.61176
 5.0760  1.65200  0.05912  1.59288
 5.1070  1.66500  0.05901  1.60599
 5.1370  1.68600  0.05889  1.62711
 5.1680  1.65800  0.05878  1.59922
 5.1990  1.68500  0.05867  1.62633
 5.2310  1.70900  0.05855  1.65045
 5.2620  1.73900  0.05844  1.68056
 5.2940  1.71900  0.05832  1.66068
 5.3260  1.71500  0.05821  1.65679
 5.3580  1.73200  0.05809  1.67391
 5.3900  1.72700  0.05798  1.66902
 5.4220  1.73100  0.05787  1.67313
 5.4550  1.74700  0.05776  1.68924
 5.4880  1.77900  0.05764  1.72136
 5.5210  1.77900  0.05753  1.72147
 5.5540  1.77800  0.05742  1.72058
 5.5870  1.79700  0.05731  1.73969
 5.6210  1.82100  0.05720  1.76380
 5.6550  1.83400  0.05708  1.77692
 5.6890  1.84400  0.05697  1.78703
 5.7230  1.82900  0.05685  1.77215
 5.7570  1.81900  0.05674  1.76226
 5.7920  1.82400  0.05663  1.76737
 5.8270  1.84100  0.05652  1.78448
 5.8620  1.83600  0.05641  1.77959
 5.8970  1.82400  0.05631  1.76769
 5.9320  1.86600  0.05620  1.80980
 5.9680  1.87200  0.05609  1.81591
 6.0040  1.87200  0.05598  1.81602
 6.0400  1.88200  0.05586  1.82614
 6.0760  1.89200  0.05575  1.83625
 6.1130  1.92700  0.05563  1.87137
 6.1500  1.95600  0.05552  1.90048
 6.1870  1.99300  0.05541  1.93759
 6.2240  2.03400  0.05530  1.97870
 6.2610  2.05700  0.05519  2.00181
 6.2990  2.04400  0.05508  1.98892
 6.3370  2.04500  0.05497  1.99003
 6.3750  2.05900  0.05487  2.00413
 6.4130  2.03000  0.05476  1.97524
 6.4520  2.03700  0.05466  1.98234
 6.4910  2.05100  0.05455  1.99645
 6.5300  2.06600  0.05444  2.01156
 6.5690  2.09500  0.05434  2.04066
 6.6080  2.09700  0.05423  2.04277
 6.6480  2.08500  0.05412  2.03088
 6.6880  2.09500  0.05402  2.04098
 6.7280  2.09500  0.05392  2.04108
 6.7690  2.10200  0.05381  2.04819
 6.8090  2.13200  0.05371  2.07829
 6.8500  2.14600  0.05360  2.09240
 6.8920  2.14100  0.05349  2.08751
 6.9330  2.12700  0.05338  2.07362
 6.9750  2.18100  0.05328  2.12772
 7.0170  2.20000  0.05317  2.14683
 7.0590  2.17900  0.05307  2.12593
 7.1010  2.20000  0.05297  2.14703
 7.1440  2.20800  0.05287  2.15513
 7.1870  2.18000  0.05277  2.12723
 7.2300  2.20000  0.05267  2.14733
 7.2740  2.25000  0.05256  2.19744
 7.3170  2.28200  0.05245  2.22955
 7.3610  2.32700  0.05234  2.27466
 7.4060  2.32700  0.05223  2.27477
 7.4500  2.33000  0.05212  2.27788
 7.4950  2.38500  0.05202  2.33298
 7.5400  2.40500  0.05192  2.35308
 7.5850  2.48400  0.05181  2.43219
 7.6310  2.51700  0.05171  2.46529
 7.6770  2.49300  0.05160  2.44140
 7.7230  2.51600  0.05149  2.46451
 7.7690  2.50500  0.05138  2.45362
 7.8160  2.51200  0.05126  2.46074
 7.8630  2.53800  0.05115  2.48685
 7.9100  2.56900  0.05104  2.51796
 7.9580  2.55400  0.05093  2.50307
 8.0060  2.54900  0.05083  2.49817
 8.0540  2.59200  0.05072  2.54128
 8.1020  2.57300  0.05062  2.52238
